Weather,Humidity,Wind,Play
Overcast,High,Strong,Yes
Overcast,Normal,Strong,Yes
Sunny,Normal,Weak,Yes
Sunny,High,Weak,No
Overcast,High,Strong,Yes
Sunny,High,Strong,No
Sunny,High,Weak,No
Overcast,Normal,Strong,Yes
Overcast,Normal,Strong,Yes
Rainy,High,Strong,No
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Overcast,High,Weak,Yes
Overcast,High,Strong,Yes
Sunny,High,Weak,No
Rainy,Normal,Strong,No
Sunny,Normal,Strong,Yes
Overcast,High,Weak,Yes
Sunny,High,Weak,No
Overcast,High,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,High,Strong,No
Overcast,High,Weak,Yes
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Rainy,High,Strong,No
Overcast,Normal,Strong,Yes
Sunny,Normal,Strong,Yes
Sunny,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,High,Strong,Yes
Overcast,Normal,Weak,Yes
Overcast,High,Weak,Yes
Overcast,Normal,Strong,Yes
Sunny,High,Weak,No
Rainy,High,Weak,Yes
Overcast,Normal,Weak,Yes
Rainy,High,Weak,Yes
Rainy,High,Strong,No
Rainy,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Overcast,Normal,Strong,Yes
Overcast,Normal,Weak,Yes
Sunny,Normal,Strong,Yes
Overcast,Normal,Weak,Yes
Rainy,High,Weak,Yes
Overcast,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Sunny,Normal,Strong,Yes
Overcast,High,Weak,Yes
Rainy,Normal,Strong,No
Overcast,High,Strong,Yes
Sunny,High,Strong,No
Rainy,Normal,Weak,Yes
Overcast,Normal,Weak,Yes
Rainy,High,Strong,No
Sunny,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Strong,No
Overcast,High,Strong,Yes
Overcast,High,Strong,Yes
Overcast,High,Strong,Yes
Overcast,High,Strong,Yes
Rainy,High,Weak,Yes
Rainy,High,Strong,No
Rainy,High,Strong,No
Sunny,Normal,Strong,Yes
Rainy,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Overcast,High,Strong,Yes
Sunny,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Rainy,High,Strong,No
Sunny,High,Weak,No
Sunny,High,Weak,No
Sunny,Normal,Weak,Yes
Sunny,Normal,Strong,Yes
Rainy,High,Strong,No
Sunny,Normal,Weak,Yes
Rainy,High,Weak,Yes
Overcast,Normal,Weak,Yes
Sunny,Normal,Weak,Yes
Overcast,High,Weak,Yes
Overcast,Normal,Strong,Yes
Rainy,Normal,Strong,No
Sunny,High,Weak,No
Sunny,Normal,Strong,Yes
Sunny,Normal,Weak,Yes
Rainy,High,Strong,No
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Overcast,High,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,High,Strong,Yes
Sunny,High,Weak,No
Sunny,Normal,Strong,Yes
Rainy,Normal,Strong,No
Sunny,High,Weak,No
Sunny,Normal,Weak,Yes
Rainy,High,Weak,Yes
Sunny,High,Weak,No
Rainy,High,Strong,No
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Rainy,High,Weak,Yes
Overcast,High,Strong,Yes
Rainy,High,Strong,No
Overcast,Normal,Strong,Yes
Sunny,High,Strong,No
Overcast,High,Weak,Yes
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Sunny,High,Weak,No
Sunny,Normal,Strong,Yes
Sunny,High,Weak,No
Sunny,High,Strong,No
Sunny,High,Strong,No
Overcast,High,Strong,Yes
Rainy,Normal,Strong,No
Overcast,Normal,Strong,Yes
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Overcast,High,Weak,Yes
Rainy,High,Strong,No
Sunny,High,Strong,No
Rainy,Normal,Weak,Yes
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Strong,No
Overcast,Normal,Strong,Yes
Rainy,High,Weak,Yes
Overcast,Normal,Strong,Yes
Sunny,Normal,Strong,Yes
Sunny,High,Weak,No
Sunny,Normal,Strong,Yes
Sunny,High,Weak,No
Rainy,Normal,Strong,No
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Rainy,High,Weak,Yes
Sunny,High,Strong,No
Rainy,Normal,Strong,No
Rainy,Normal,Strong,No
Sunny,Normal,Strong,Yes
Sunny,High,Weak,No
Sunny,Normal,Weak,Yes
Overcast,High,Strong,Yes
Sunny,Normal,Strong,Yes
Rainy,Normal,Strong,No
Overcast,Normal,Weak,Yes
Overcast,High,Weak,Yes
Rainy,High,Weak,Yes
Overcast,High,Strong,Yes
Sunny,Normal,Strong,Yes
Rainy,High,Weak,Yes
Overcast,High,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,High,Weak,Yes
Overcast,High,Weak,Yes
Rainy,High,Weak,Yes
Overcast,Normal,Strong,Yes
Rainy,High,Weak,Yes
Sunny,Normal,Weak,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Overcast,Normal,Strong,Yes
Sunny,High,Strong,No
Sunny,High,Weak,No
Sunny,High,Weak,No
Sunny,Normal,Strong,Yes
Overcast,High,Strong,Yes
Sunny,Normal,Weak,Yes
Sunny,Normal,Weak,Yes
Sunny,High,Strong,No
Overcast,Normal,Strong,Yes
Rainy,High,Strong,No
Rainy,Normal,Weak,Yes
Overcast,High,Weak,Yes
Overcast,Normal,Strong,Yes
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Sunny,Normal,Weak,Yes
Rainy,High,Weak,Yes
Overcast,High,Strong,Yes
Sunny,High,Weak,No
Sunny,High,Strong,No
Sunny,High,Weak,No
Rainy,High,Strong,No
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Sunny,Normal,Strong,Yes
Overcast,Normal,Strong,Yes
Sunny,Normal,Weak,Yes
Sunny,Normal,Weak,Yes
Overcast,High,Weak,Yes
Overcast,High,Weak,Yes
Overcast,High,Weak,Yes
Rainy,High,Weak,Yes
Sunny,High,Weak,No
Rainy,Normal,Strong,No
Sunny,High,Weak,No
Sunny,High,Weak,No
Sunny,High,Weak,No
Rainy,High,Weak,Yes
Sunny,Normal,Strong,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Rainy,High,Weak,Yes
Rainy,Normal,Strong,No
Sunny,High,Weak,No
Rainy,High,Weak,Yes
Rainy,High,Strong,No
Overcast,High,Weak,Yes
Rainy,High,Strong,No
Sunny,Normal,Weak,Yes
Overcast,High,Weak,Yes
Sunny,Normal,Weak,Yes
Overcast,Normal,Weak,Yes
Sunny,High,Strong,No
Rainy,High,Strong,No
Sunny,High,Strong,No
Sunny,High,Strong,No
Rainy,Normal,Strong,No
Overcast,High,Weak,Yes
Overcast,Normal,Weak,Yes
Sunny,Normal,Weak,Yes
Rainy,High,Weak,Yes
Sunny,High,Weak,No
Rainy,High,Weak,Yes
Sunny,High,Weak,No
Rainy,High,Strong,No
Rainy,Normal,Weak,Yes
Rainy,High,Weak,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Overcast,Normal,Strong,Yes
Overcast,High,Weak,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Overcast,High,Strong,Yes
Sunny,Normal,Strong,Yes
Overcast,High,Weak,Yes
Rainy,Normal,Strong,No
Overcast,Normal,Strong,Yes
Rainy,Normal,Strong,No
Rainy,High,Strong,No
Rainy,High,Strong,No
Rainy,Normal,Strong,No
Rainy,Normal,Strong,No
Overcast,Normal,Weak,Yes
Overcast,High,Weak,Yes
Rainy,Normal,Strong,No
Sunny,High,Weak,No
Sunny,Normal,Strong,Yes
Sunny,Normal,Strong,Yes
Sunny,High,Strong,No
Rainy,Normal,Weak,Yes
Rainy,High,Strong,No
Sunny,High,Weak,No
Overcast,High,Strong,Yes
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Overcast,High,Strong,Yes
Overcast,Normal,Weak,Yes
Overcast,High,Weak,Yes
Rainy,High,Weak,Yes
Overcast,High,Weak,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Overcast,High,Strong,Yes
Overcast,High,Strong,Yes
Rainy,High,Strong,No
Overcast,Normal,Weak,Yes
Rainy,High,Strong,No
Rainy,Normal,Weak,Yes
Rainy,Normal,Strong,No
Overcast,High,Weak,Yes
Overcast,High,Strong,Yes
Sunny,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Overcast,Normal,Weak,Yes
Sunny,High,Weak,No
Rainy,High,Strong,No
Rainy,Normal,Weak,Yes
Overcast,High,Weak,Yes
Overcast,High,Strong,Yes
Sunny,High,Weak,No
Rainy,High,Weak,Yes
Overcast,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Sunny,High,Weak,No
Overcast,High,Weak,Yes
Sunny,High,Strong,No
Sunny,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Strong,No
Rainy,Normal,Weak,Yes
Overcast,High,Weak,Yes
Sunny,High,Weak,No
Rainy,High,Strong,No
Sunny,High,Weak,No
Sunny,High,Strong,No
Rainy,Normal,Strong,No
Overcast,Normal,Strong,Yes
Sunny,High,Strong,No
Sunny,Normal,Strong,Yes
Rainy,Normal,Weak,Yes
Sunny,High,Strong,No
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Sunny,High,Weak,No
Sunny,Normal,Weak,Yes
Sunny,Normal,Strong,Yes
Rainy,Normal,Strong,No
Overcast,Normal,Strong,Yes
Overcast,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Rainy,Normal,Weak,Yes
Overcast,High,Weak,Yes
Sunny,High,Strong,No
Sunny,Normal,Weak,Yes
Sunny,High,Weak,No
Overcast,Normal,Weak,Yes
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Sunny,Normal,Weak,Yes
Rainy,High,Weak,Yes
Overcast,Normal,Weak,Yes
Rainy,High,Weak,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Rainy,High,Strong,No
Rainy,High,Strong,No
Overcast,High,Strong,Yes
Overcast,High,Weak,Yes
Overcast,Normal,Strong,Yes
Overcast,High,Strong,Yes
Sunny,High,Strong,No
Sunny,High,Strong,No
Overcast,Normal,Strong,Yes
Rainy,Normal,Strong,No
Overcast,High,Weak,Yes
Sunny,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,High,Strong,No
Overcast,Normal,Weak,Yes
Rainy,Normal,Strong,No
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Strong,No
Sunny,High,Weak,No
Rainy,High,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Strong,No
Rainy,Normal,Strong,No
Sunny,Normal,Strong,Yes
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Overcast,High,Strong,Yes
Overcast,High,Strong,Yes
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Rainy,High,Weak,Yes
Rainy,Normal,Strong,No
Overcast,Normal,Weak,Yes
Rainy,High,Weak,Yes
Rainy,High,Strong,No
Overcast,High,Weak,Yes
Overcast,Normal,Strong,Yes
Sunny,High,Weak,No
Rainy,High,Weak,Yes
Overcast,Normal,Weak,Yes
Sunny,High,Strong,No
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Rainy,High,Strong,No
Overcast,High,Weak,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Overcast,High,Weak,Yes
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,High,Strong,No
Overcast,Normal,Strong,Yes
Sunny,Normal,Weak,Yes
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Sunny,High,Strong,No
Rainy,High,Strong,No
Rainy,Normal,Strong,No
Sunny,Normal,Weak,Yes
Sunny,High,Weak,No
Overcast,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Overcast,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Strong,No
Overcast,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Overcast,High,Weak,Yes
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Overcast,High,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Strong,No
Sunny,Normal,Weak,Yes
Overcast,Normal,Weak,Yes
Rainy,High,Strong,No
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Rainy,High,Strong,No
Rainy,High,Strong,No
Rainy,High,Strong,No
Rainy,High,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Rainy,High,Weak,Yes
Sunny,High,Weak,No
Rainy,High,Strong,No
Rainy,High,Strong,No
Rainy,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Strong,No
Rainy,Normal,Weak,Yes
Rainy,High,Weak,Yes
Sunny,High,Strong,No
Rainy,High,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,High,Weak,Yes
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Overcast,Normal,Weak,Yes
Rainy,High,Weak,Yes
Sunny,High,Weak,No
Overcast,Normal,Strong,Yes
Sunny,High,Strong,No
Sunny,High,Weak,No
Overcast,High,Strong,Yes
Sunny,Normal,Strong,Yes
Rainy,High,Weak,Yes
Sunny,High,Weak,No
Overcast,High,Strong,Yes
Sunny,High,Strong,No
Overcast,High,Weak,Yes
Overcast,High,Strong,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Overcast,Normal,Weak,Yes
Overcast,High,Weak,Yes
Sunny,Normal,Strong,Yes
Rainy,Normal,Weak,Yes
Overcast,High,Strong,Yes
Overcast,High,Weak,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Sunny,Normal,Strong,Yes
Overcast,High,Strong,Yes
Overcast,Normal,Weak,Yes
Overcast,Normal,Weak,Yes
Overcast,High,Strong,Yes
Rainy,High,Strong,No
Sunny,High,Strong,No
Overcast,Normal,Weak,Yes
Overcast,High,Weak,Yes
Sunny,High,Strong,No
Overcast,High,Weak,Yes
Overcast,Normal,Strong,Yes
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Overcast,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,High,Strong,No
Sunny,High,Strong,No
Overcast,High,Weak,Yes
Sunny,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Rainy,High,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Sunny,High,Strong,No
Overcast,Normal,Weak,Yes
Sunny,Normal,Strong,Yes
Overcast,Normal,Weak,Yes
Sunny,High,Weak,No
Rainy,High,Weak,Yes
Sunny,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,Normal,Weak,Yes
Sunny,Normal,Weak,Yes
Rainy,High,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Sunny,Normal,Weak,Yes
Sunny,High,Weak,No
Overcast,High,Weak,Yes
Sunny,High,Weak,No
Overcast,High,Weak,Yes
Rainy,High,Weak,Yes
Sunny,High,Strong,No
Sunny,High,Weak,No
Overcast,Normal,Strong,Yes
Sunny,High,Weak,No
Overcast,Normal,Strong,Yes
Rainy,High,Strong,No
Rainy,Normal,Weak,Yes
Overcast,High,Strong,Yes
Sunny,High,Weak,No
Overcast,Normal,Strong,Yes
Overcast,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Sunny,Normal,Weak,Yes
Overcast,High,Weak,Yes
Sunny,Normal,Weak,Yes
Rainy,High,Strong,No
Sunny,High,Weak,No
Sunny,High,Weak,No
Rainy,High,Strong,No
Rainy,High,Weak,Yes
Sunny,Normal,Weak,Yes
Rainy,Normal,Strong,No
Overcast,Normal,Weak,Yes
Sunny,Normal,Strong,Yes
Overcast,High,Weak,Yes
Sunny,High,Weak,No
Rainy,High,Weak,Yes
Overcast,High,Strong,Yes
Overcast,Normal,Weak,Yes
Sunny,Normal,Weak,Yes
Overcast,High,Weak,Yes
Overcast,High,Strong,Yes
Sunny,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Overcast,High,Strong,Yes
Rainy,High,Strong,No
Rainy,High,Weak,Yes
Overcast,High,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,High,Weak,Yes
Overcast,High,Strong,Yes
Sunny,Normal,Weak,Yes
Rainy,High,Weak,Yes
Sunny,Normal,Strong,Yes
Rainy,Normal,Weak,Yes
Rainy,High,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Sunny,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Overcast,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Rainy,High,Strong,No
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,High,Weak,Yes
Overcast,Normal,Strong,Yes
Overcast,Normal,Weak,Yes
Sunny,Normal,Strong,Yes
Sunny,Normal,Strong,Yes
Sunny,High,Strong,No
Overcast,High,Strong,Yes
Sunny,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,High,Strong,Yes
Sunny,High,Weak,No
Overcast,Normal,Weak,Yes
Rainy,Normal,Strong,No
Overcast,Normal,Strong,Yes
Rainy,High,Strong,No
Overcast,Normal,Weak,Yes
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Sunny,Normal,Weak,Yes
Sunny,High,Strong,No
Sunny,Normal,Strong,Yes
Rainy,Normal,Weak,Yes
Sunny,High,Strong,No
Rainy,Normal,Weak,Yes
Overcast,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Strong,No
Overcast,High,Weak,Yes
Sunny,High,Weak,No
Overcast,Normal,Weak,Yes
Sunny,High,Weak,No
Rainy,Normal,Strong,No
Rainy,High,Weak,Yes
Sunny,High,Weak,No
Overcast,Normal,Strong,Yes
Sunny,Normal,Weak,Yes
Overcast,Normal,Weak,Yes
Rainy,High,Weak,Yes
Rainy,High,Weak,Yes
Rainy,Normal,Strong,No
Overcast,High,Strong,Yes
Overcast,High,Weak,Yes
Overcast,Normal,Weak,Yes
Overcast,High,Strong,Yes
Rainy,Normal,Strong,No
Overcast,Normal,Strong,Yes
Sunny,Normal,Strong,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,High,Weak,Yes
Overcast,Normal,Strong,Yes
Rainy,High,Strong,No
Overcast,High,Weak,Yes
Overcast,Normal,Weak,Yes
Overcast,Normal,Weak,Yes
Sunny,High,Strong,No
Overcast,High,Strong,Yes
Rainy,High,Strong,No
Rainy,Normal,Weak,Yes
Rainy,High,Weak,Yes
Overcast,High,Strong,Yes
Sunny,High,Weak,No
Overcast,Normal,Weak,Yes
Sunny,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Sunny,High,Weak,No
Overcast,High,Weak,Yes
Overcast,Normal,Weak,Yes
Overcast,High,Strong,Yes
Rainy,High,Strong,No
Sunny,Normal,Weak,Yes
Overcast,High,Strong,Yes
Sunny,High,Weak,No
Sunny,Normal,Weak,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Rainy,Normal,Strong,No
Rainy,Normal,Weak,Yes
Rainy,Normal,Strong,No
Rainy,Normal,Weak,Yes
Overcast,High,Strong,Yes
Overcast,Normal,Weak,Yes
Overcast,Normal,Weak,Yes
Overcast,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Strong,No
Rainy,Normal,Weak,Yes
Sunny,Normal,Strong,Yes
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Rainy,High,Weak,Yes
Overcast,High,Weak,Yes
Overcast,High,Weak,Yes
Rainy,High,Weak,Yes
Sunny,Normal,Weak,Yes
Sunny,High,Strong,No
Sunny,Normal,Weak,Yes
Sunny,High,Weak,No
Rainy,High,Strong,No
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Rainy,Normal,Strong,No
Rainy,Normal,Strong,No
Overcast,High,Weak,Yes
Overcast,Normal,Strong,Yes
Sunny,Normal,Weak,Yes
Sunny,Normal,Strong,Yes
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Rainy,Normal,Strong,No
Overcast,High,Strong,Yes
Sunny,High,Weak,No
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Overcast,High,Strong,Yes
Rainy,High,Weak,Yes
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Overcast,High,Strong,Yes
Sunny,High,Strong,No
Overcast,High,Strong,Yes
Overcast,High,Strong,Yes
Rainy,Normal,Weak,Yes
Sunny,Normal,Weak,Yes
Rainy,High,Weak,Yes
Sunny,Normal,Strong,Yes
Rainy,Normal,Strong,No
Sunny,High,Weak,No
Sunny,Normal,Weak,Yes
Sunny,High,Weak,No
Rainy,Normal,Weak,Yes
Rainy,High,Weak,Yes
Overcast,Normal,Weak,Yes
Overcast,High,Strong,Yes
Overcast,Normal,Weak,Yes
Overcast,Normal,Weak,Yes
Rainy,High,Strong,No
Overcast,High,Weak,Yes
Overcast,Normal,Weak,Yes
Rainy,Normal,Strong,No
Sunny,High,Strong,No
Overcast,High,Weak,Yes
Rainy,Normal,Weak,Yes
Sunny,Normal,Weak,Yes
Sunny,High,Strong,No
Rainy,Normal,Weak,Yes
Sunny,High,Weak,No
Rainy,High,Strong,No
Sunny,High,Strong,No
Sunny,Normal,Strong,Yes
Overcast,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Overcast,Normal,Strong,Yes
Sunny,High,Weak,No
Sunny,High,Weak,No
Rainy,Normal,Strong,No
Sunny,High,Weak,No
Sunny,High,Strong,No
Sunny,High,Weak,No
Sunny,Normal,Strong,Yes
Rainy,Normal,Weak,Yes
Rainy,Normal,Weak,Yes
Sunny,Normal,Weak,Yes
Rainy,Normal,Strong,No
Sunny,Normal,Strong,Yes
Sunny,Normal,Strong,Yes
Sunny,High,Weak,No
Overcast,Normal,Weak,Yes
